Mo-Chit 838000	792000	957000	881000	861000	933000	886000	930000	900000	964000	950000	952000	10844000
Saphan-Khwai 193000	182000	221000	201000	201000	218000	196000	207000	208000	213000	209000	207000	2456000
Ari 265000	259000	300000	254000	263000	292000	268000	283000	285000	281000	284000	272000	3306000
Sanam-Pao 77000	74000	87000	75000	110000	89000	83000	85000	86000	89000	95000	83000	1033000
Victory-Monument 898000	877000	1052000	842000	941000	1057000	959000	1021000	1001000	1076000	1085000	1063000	11872000
Phaya-Thai 294000	276000	496000	418000	356000	364000	290000	360000	325000	479000	345000	326000	4329000
Ratchathewi 236000	229000	269000	226000	239000	265000	248000	263000	252000	263000	263000	271000	3024000
Siam 1238000	1169000	1462000	1171000	1267000	1385000	1292000	1410000	1307000	1560000	1503000	1572000	16336000
Chit-Lom 608000	581000	674000	554000	590000	647000	622000	649000	640000	686000	727000	794000	7772000
Phloen-Chit 448000	343000	391000	316000	337000	387000	372000	381000	392000	392000	411000	404000	4574000
Nana 394000	370000	423000	351000	371000	385000	394000	398000	388000	414000	436000	445000	4769000
Asok 751000	739000	872000	705000	748000	834000	807000	818000	864000	889000	909000	883000	9819000
Phrom Phong 524000	501000	555000	456000	492000	536000	520000	549000	545000	555000	579000	589000	6401000
Thong-Lo 250000	243000	274000	228000	246000	271000	247000	266000	274000	273000	286000	279000	3137000
Ekkamai 290000	275000	309000	274000	291000	315000	298000	308000	302000	306000	317000	305000	3590000
Phra-Khanong 240000	205000	232000	209000	217000	245000	231000	232000	242000	237000	247000	241000	2778000
On-Nut 945000	907000	1076000	963000	981000	1095000	993000	1067000	1066000	1102000	1111000	1080000	12386000
Nationnal-Stadium 438000	394000	490000	432000	427000	445000	445000	460000	436000	476000	486000	501000	5430000
Ratchadamri 115000	110000	130000	104000	117000	120000	117000	118000	119000	123000	130000	128000	1431000
Sala-Daeng 679000	645000	733000	659000	664000	742000	700000	723000	727000	733000	765000	749000	8519000
Chong-Nonsi 388000	370000	445000	373000	399000	452000	414000	423000	427000	437000	438000	415000	4981000
Surasak 301000	289000	317000	276000	284000	302000	282000	297000	292000	257000	304000	278000	3479000
Saphan-Taksin 580000	543000	608000	531000	486000	503000	481000	490000	410000	401000	452000	430000	5915000
Krung-Thon-Buri 0	0	0	0	54000	106000	106000	120000	105000	107000	116000	113000	827000
Wongwian-Yai 0	0	0	0	170000	281000	250000	257000	239000	248000	255000	256000	1956000
